name,color,cmc,manaCost,power,toughness,text,types,subtypes
Looter il-Kor, Blue,2,{1}{U},1,1,"Shadow (This creature can block or be blocked by only creatures with shadow.)
Whenever Looter il-Kor deals damage to an opponent, draw a card, then discard a card.", Creature, Kor Rogue
Magus of the Jar, Blue,5,{3}{U}{U},3,3,"{T}, Sacrifice Magus of the Jar: Each player exiles all cards from their hand face down and draws seven cards. At the beginning of the next end step, each player discards their hand and returns to their hand each card they exiled this way.", Creature, Human Wizard
Moonlace, Blue,1,{U},,,Target spell or permanent becomes colorless., Instant,
Ophidian Eye, Blue,3,{2}{U},,,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Whenever enchanted creature deals damage to an opponent, you may draw a card.", Enchantment, Aura
Paradox Haze, Blue,3,{2}{U},,,"Enchant player
At the beginning of enchanted player's first upkeep each turn, that player gets an additional upkeep step after this step.", Enchantment, Aura
Psionic Sliver, Blue,5,{4}{U},2,2,"All Sliver creatures have ""{T}: This creature deals 2 damage to any target and 3 damage to itself.""", Creature, Sliver
Sage of Epityr, Blue,1,{U},1,1,"When Sage of Epityr enters the battlefield, look at the top four cards of your library, then put them back in any order.", Creature, Human Wizard
Screeching Sliver, Blue,1,{U},1,1,"All Slivers have ""{T}: Target player puts the top card of their library into their graveyard.""", Creature, Sliver
Shadow Sliver, Blue,3,{2}{U},1,1,All Sliver creatures have shadow. (They can block or be blocked by only creatures with shadow.), Creature, Sliver
Slipstream Serpent, Blue,8,{7}{U},6,6,"Slipstream Serpent can't attack unless defending player controls an Island.
When you control no Islands, sacrifice Slipstream Serpent.
Morph {5}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)", Creature, Serpent
Snapback, Blue,2,{1}{U},,,"You may exile a blue card from your hand rather than pay this spell's mana cost.
Return target creature to its owner's hand.", Instant,
Spell Burst, Blue,1,{X}{U},,,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Counter target spell with converted mana cost X.", Instant,
Spiketail Drakeling, Blue,3,{1}{U}{U},2,2,"Flying
Sacrifice Spiketail Drakeling: Counter target spell unless its controller pays {2}.", Creature, Drake
Stormcloud Djinn, Blue,5,{4}{U},3,3,"Flying
Stormcloud Djinn can block only creatures with flying.
{R}{R}: Stormcloud Djinn gets +2/+0 until end of turn and deals 1 damage to you.", Creature, Djinn
Telekinetic Sliver, Blue,4,{2}{U}{U},2,2,"All Slivers have ""{T}: Tap target permanent.""", Creature, Sliver
Temporal Eddy, Blue,4,{2}{U}{U},,,Put target creature or land on top of its owner's library., Sorcery,
Think Twice, Blue,2,{1}{U},,,"Draw a card.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)", Instant,
Tolarian Sentinel, Blue,4,{3}{U},1,3,"Flying
{U}, {T}, Discard a card: Return target permanent you control to its owner's hand.", Creature, Human Spellshaper
Trickbind, Blue,2,{1}{U},,,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Counter target activated or triggered ability. If a permanent's ability is countered this way, activated abilities of that permanent can't be activated this turn. (Mana abilities can't be targeted.)", Instant,
Truth or Tale, Blue,2,{1}{U},,,"Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put a card from the chosen pile into your hand, then put all other cards revealed this way on the bottom of your library in any order.", Instant,
Viscerid Deepwalker, Blue,5,{4}{U},2,3,"{U}: Viscerid Deepwalker gets +1/+0 until end of turn.
Suspend 4—{U} (Rather than cast this card from your hand, you may pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)", Creature, Homarid Warrior
Walk the Aeons, Blue,6,{4}{U}{U},,,"Buyback—Sacrifice three Islands. (You may sacrifice three Islands in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Target player takes an extra turn after this one.", Sorcery,
Wipe Away, Blue,3,{1}{U}{U},,,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Return target permanent to its owner's hand.", Instant,
Basal Sliver, Black,3,{2}{B},2,2,"All Slivers have ""Sacrifice this permanent: Add {B}{B}.""", Creature, Sliver
Call to the Netherworld, Black,1,{B},,,"Return target black creature card from your graveyard to your hand.
Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)", Sorcery,
Corpulent Corpse, Black,6,{5}{B},3,3,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Suspend 5—{B} (Rather than cast this card from your hand, you may pay {B} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)", Creature, Zombie
Curse of the Cabal, Black,10,{9}{B},,,"Target player sacrifices half the permanents they control, rounded down.
Suspend 2—{2}{B}{B} (Rather than cast this card from your hand, you may pay {2}{B}{B} and exile it with two time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
At the beginning of each player's upkeep, if Curse of the Cabal is suspended, that player may sacrifice a permanent. If the player does, put two time counters on Curse of the Cabal.", Sorcery,
Cyclopean Giant, Black,4,{2}{B}{B},4,2,"When Cyclopean Giant dies, target land becomes a Swamp. Exile Cyclopean Giant.", Creature, Zombie Giant
Dark Withering, Black,6,{4}{B}{B},,,"Destroy target nonblack creature.
Madness {B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)", Instant,
Deathspore Thallid, Black,2,{1}{B},1,1,"At the beginning of your upkeep, put a spore counter on Deathspore Thallid.
Remove three spore counters from Deathspore Thallid: Create a 1/1 green Saproling creature token.
Sacrifice a Saproling: Target creature gets -1/-1 until end of turn.", Creature, Zombie Fungus
Demonic Collusion, Black,5,{3}{B}{B},,,"Buyback—Discard two cards. (You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Search your library for a card and put that card into your hand. Then shuffle your library.", Sorcery,
Drudge Reavers, Black,4,{3}{B},2,1,"Flash (You may cast this spell any time you could cast an instant.)
{B}: Regenerate Drudge Reavers.", Creature, Skeleton
Evil Eye of Urborg, Black,5,{4}{B},6,3,"Non-Eye creatures you control can't attack.
Whenever Evil Eye of Urborg becomes blocked by a creature, destroy that creature.", Creature, Eye
Faceless Devourer, Black,3,{2}{B},2,1,"Shadow (This creature can block or be blocked by only creatures with shadow.)
When Faceless Devourer enters the battlefield, exile another target creature with shadow.
When Faceless Devourer leaves the battlefield, return the exiled card to the battlefield under its owner's control.", Creature, Nightmare Horror
Feebleness, Black,2,{1}{B},,,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature gets -2/-1.", Enchantment, Aura
Gorgon Recluse, Black,5,{3}{B}{B},2,4,"Whenever Gorgon Recluse blocks or becomes blocked by a nonblack creature, destroy that creature at end of combat.
Madness {B}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)", Creature, Gorgon
Liege of the Pit, Black,8,{5}{B}{B}{B},7,7,"Flying, trample
At the beginning of your upkeep, sacrifice a creature other than Liege of the Pit. If you can't, Liege of the Pit deals 7 damage to you.
Morph {B}{B}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)", Creature, Demon
Lim-Dûl the Necromancer, Black,7,{5}{B}{B},4,4,"Whenever a creature an opponent controls dies, you may pay {1}{B}. If you do, return that card to the battlefield under your control. If it's a creature, it's a Zombie in addition to its other creature types.
{1}{B}: Regenerate target Zombie.", Creature, Human Wizard
Living End, Black,0,,,,"Suspend 3—{2}{B}{B} (Rather than cast this card from your hand, pay {2}{B}{B} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
Each player exiles all creature cards from their graveyard, then sacrifices all creatures they control, then puts all cards they exiled this way onto the battlefield.", Sorcery,
Mana Skimmer, Black,4,{3}{B},2,2,"Flying
Whenever Mana Skimmer deals damage to a player, tap target land that player controls. That land doesn't untap during its controller's next untap step.", Creature, Leech
Mindlash Sliver, Black,1,{B},1,1,"All Slivers have ""{1}, Sacrifice this permanent: Each player discards a card.""", Creature, Sliver
Mindstab, Black,6,{5}{B},,,"Target player discards three cards.
Suspend 4—{B} (Rather than cast this card from your hand, you may pay {B} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)", Sorcery,
Nether Traitor, Black,2,{B}{B},1,1,"Haste
Shadow (This creature can block or be blocked by only creatures with shadow.)
Whenever another creature is put into your graveyard from the battlefield, you may pay {B}. If you do, return Nether Traitor from your graveyard to the battlefield.", Creature, Spirit
Nightshade Assassin, Black,4,{2}{B}{B},2,1,"First strike
When Nightshade Assassin enters the battlefield, you may reveal X black cards in your hand. If you do, target creature gets -X/-X until end of turn.
Madness {1}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)", Creature, Human Assassin
Plague Sliver, Black,4,{2}{B}{B},5,5,"All Slivers have ""At the beginning of your upkeep, this permanent deals 1 damage to you.""", Creature, Sliver
Premature Burial, Black,2,{1}{B},,,Destroy target nonblack creature that entered the battlefield since your last turn ended., Sorcery,
Psychotic Episode, Black,3,{1}{B}{B},,,"Target player reveals their hand and the top card of their library. You choose a card revealed this way. That player puts the chosen card on the bottom of their library.
Madness {1}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)", Sorcery,
Sangrophage, Black,2,{B}{B},3,3,"At the beginning of your upkeep, tap Sangrophage unless you pay 2 life.", Creature, Zombie
Sengir Nosferatu, Black,5,{3}{B}{B},4,4,"Flying
{1}{B}, Exile Sengir Nosferatu: Create a 1/2 black Bat creature token with flying. It has ""{1}{B}, Sacrifice this creature: Return an exiled card named Sengir Nosferatu to the battlefield under its owner's control.""", Creature, Vampire
Skittering Monstrosity, Black,5,{3}{B}{B},5,5,"When you cast a creature spell, sacrifice Skittering Monstrosity.", Creature, Horror
Skulking Knight, Black,3,{2}{B},3,3,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
When Skulking Knight becomes the target of a spell or ability, sacrifice it.", Creature, Zombie Knight
Stronghold Overseer, Black,6,{3}{B}{B}{B},5,5,"Flying
Shadow (This creature can block or be blocked by only creatures with shadow.)
{B}{B}: Creatures with shadow get +1/+0 until end of turn and creatures without shadow get -1/-0 until end of turn.", Creature, Demon
Sudden Death, Black,3,{1}{B}{B},,,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Target creature gets -4/-4 until end of turn.", Instant,
Traitor's Clutch, Black,5,{4}{B},,,"Target creature gets +1/+0, becomes black, and gains shadow until end of turn. (It can block or be blocked by only creatures with shadow.)
Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)", Instant,
Trespasser il-Vec, Black,3,{2}{B},3,1,Discard a card: Trespasser il-Vec gains shadow until end of turn. (It can block or be blocked by only creatures with shadow.), Creature, Human Rogue
Vampiric Sliver, Black,4,{3}{B},3,3,"All Sliver creatures have ""Whenever a creature dealt damage by this creature this turn dies, put a +1/+1 counter on this creature.""", Creature, Sliver
Viscid Lemures, Black,5,{4}{B},4,3,{0}: Viscid Lemures gets -1/-0 and gains swampwalk until end of turn. (It can't be blocked as long as defending player controls a Swamp.), Creature, Spirit
Aetherflame Wall, Red,2,{1}{R},0,4,"Defender
Aetherflame Wall can block creatures with shadow as though they didn't have shadow.
{R}: Aetherflame Wall gets +1/+0 until end of turn.", Creature, Wall
Basalt Gargoyle, Red,3,{2}{R},3,2,"Flying
Echo {2}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
{R}: Basalt Gargoyle gets +0/+1 until end of turn.", Creature, Gargoyle
Blazing Blade Askari, Red,3,{2}{R},2,2,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
{2}: Blazing Blade Askari becomes colorless until end of turn.", Creature, Human Knight
Bonesplitter Sliver, Red,4,{3}{R},2,2,All Sliver creatures get +2/+0., Creature, Sliver
Conflagrate, Red,1,{X}{X}{R},,,"Conflagrate deals X damage divided as you choose among any number of targets.
Flashback—{R}{R}, Discard X cards. (You may cast this card from your graveyard for its flashback cost. Then exile it.)", Sorcery,
Firemaw Kavu, Red,6,{5}{R},4,2,"Echo {5}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Firemaw Kavu enters the battlefield, it deals 2 damage to target creature.
When Firemaw Kavu leaves the battlefield, it deals 4 damage to target creature.", Creature, Kavu
Flamecore Elemental, Red,4,{2}{R}{R},5,4,"Echo {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)", Creature, Elemental
Flowstone Channeler, Red,3,{2}{R},2,2,"{1}{R}, {T}, Discard a card: Target creature gets +1/-1 and gains haste until end of turn.", Creature, Human Spellshaper
Ghitu Firebreathing, Red,2,{1}{R},,,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
{R}: Enchanted creature gets +1/+0 until end of turn.
{R}: Return Ghitu Firebreathing to its owner's hand.", Enchantment, Aura
Goblin Skycutter, Red,2,{1}{R},2,1,Sacrifice Goblin Skycutter: It deals 2 damage to target creature with flying. That creature loses flying until end of turn., Creature, Goblin Warrior
Ground Rift, Red,1,{R},,,"Target creature without flying can't block this turn.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)", Sorcery,
Ignite Memories, Red,5,{4}{R},,,"Target player reveals a card at random from their hand. Ignite Memories deals damage to that player equal to that card's converted mana cost.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)", Sorcery,
Ironclaw Buzzardiers, Red,3,{2}{R},2,2,"Ironclaw Buzzardiers can't block creatures with power 2 or greater.
{R}: Ironclaw Buzzardiers gains flying until end of turn.", Creature, Orc Scout
Lightning Axe, Red,1,{R},,,"As an additional cost to cast this spell, discard a card or pay {5}.
Lightning Axe deals 5 damage to target creature.", Instant,
Magus of the Scroll, Red,1,{R},1,1,"{3}, {T}: Choose a card name, then reveal a card at random from your hand. If that card has the chosen name, Magus of the Scroll deals 2 damage to any target.", Creature, Human Wizard
Norin the Wary, Red,1,{R},2,1,"When a player casts a spell or a creature attacks, exile Norin the Wary. Return it to the battlefield under its owner's control at the beginning of the next end step.", Creature, Human Warrior
Plunder, Red,5,{4}{R},,,"Destroy target artifact or land.
Suspend 4—{1}{R} (Rather than cast this card from your hand, you may pay {1}{R} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)", Sorcery,
Reiterate, Red,3,{1}{R}{R},,,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Copy target instant or sorcery spell. You may choose new targets for the copy.", Instant,
Sedge Sliver, Red,3,{2}{R},2,2,"All Sliver creatures have ""This creature gets +1/+1 as long as you control a Swamp.""
All Slivers have ""{B}: Regenerate this permanent.""", Creature, Sliver
Subterranean Shambler, Red,4,{3}{R},2,3,"Echo {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Subterranean Shambler enters the battlefield or leaves the battlefield, it deals 1 damage to each creature without flying.", Creature, Elemental
Tectonic Fiend, Red,6,{4}{R}{R},7,7,"Echo {4}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
Tectonic Fiend attacks each combat if able.", Creature, Elemental
Thick-Skinned Goblin, Red,2,{1}{R},2,1,"You may pay {0} rather than pay the echo cost for permanents you control.
{R}: Thick-Skinned Goblin gains protection from red until end of turn.", Creature, Goblin Shaman
Two-Headed Sliver, Red,2,{1}{R},1,1,All Sliver creatures have menace. (They can't be blocked except by two or more creatures.), Creature, Sliver
Viashino Bladescout, Red,3,{1}{R}{R},2,1,"Flash (You may cast this spell any time you could cast an instant.)
When Viashino Bladescout enters the battlefield, target creature gains first strike until end of turn.", Creature, Viashino Scout
Volcanic Awakening, Red,6,{4}{R}{R},,,"Destroy target land.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)", Sorcery,
Aether Web, Green,2,{1}{G},,,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature gets +1/+1, has reach, and can block creatures with shadow as though they didn't have shadow. (Creatures with reach can block creatures with flying.)", Enchantment, Aura
Ashcoat Bear, Green,2,{1}{G},2,2,Flash (You may cast this spell any time you could cast an instant.), Creature, Bear
Aspect of Mongoose, Green,2,{1}{G},,,"Enchant creature
Enchanted creature has shroud. (It can't be the target of spells or abilities.)
When Aspect of Mongoose is put into a graveyard from the battlefield, return Aspect of Mongoose to its owner's hand.", Enchantment, Aura
Chameleon Blur, Green,4,{3}{G},,,Prevent all damage that creatures would deal to players this turn., Instant,
Durkwood Tracker, Green,5,{4}{G},4,3,"{1}{G}, {T}: If Durkwood Tracker is on the battlefield, it deals damage equal to its power to target attacking creature. That creature deals damage equal to its power to Durkwood Tracker.", Creature, Giant
Glass Asp, Green,3,{1}{G}{G},2,1,"Whenever Glass Asp deals combat damage to a player, that player loses 2 life at the beginning of their next draw step unless they pay {2} before that step.", Creature, Snake
Greenseeker, Green,1,{G},1,1,"{G}, {T}, Discard a card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.", Creature, Elf Spellshaper
Havenwood Wurm, Green,7,{6}{G},5,6,"Flash (You may cast this spell any time you could cast an instant.)
Trample", Creature, Wurm
Herd Gnarr, Green,4,{3}{G},2,2,"Whenever another creature enters the battlefield under your control, Herd Gnarr gets +2/+2 until end of turn.", Creature, Beast
Hypergenesis, Green,0,,,,"Suspend 3—{1}{G}{G} (Rather than cast this card from your hand, pay {1}{G}{G} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
Starting with you, each player may put an artifact, creature, enchantment, or land card from their hand onto the battlefield. Repeat this process until no one puts a card onto the battlefield.", Sorcery,
Magus of the Candelabra, Green,1,{G},1,2,"{X}, {T}: Untap X target lands.", Creature, Human Wizard
Molder, Green,1,{X}{G},,,Destroy target artifact or enchantment with converted mana cost X. It can't be regenerated. You gain X life., Instant,
Mwonvuli Acid-Moss, Green,4,{2}{G}{G},,,Destroy target land. Search your library for a Forest card and put that card onto the battlefield tapped. Then shuffle your library., Sorcery,
Pendelhaven Elder, Green,2,{1}{G},1,1,{T}: Each 1/1 creature you control gets +1/+2 until end of turn., Creature, Elf Shaman
Phantom Wurm, Green,6,{4}{G}{G},2,0,"Phantom Wurm enters the battlefield with four +1/+1 counters on it.
If damage would be dealt to Phantom Wurm, prevent that damage. Remove a +1/+1 counter from Phantom Wurm.", Creature, Wurm Spirit
Primal Forcemage, Green,3,{2}{G},2,2,"Whenever another creature enters the battlefield under your control, that creature gets +3/+3 until end of turn.", Creature, Elf Shaman
Savage Thallid, Green,5,{3}{G}{G},5,2,"At the beginning of your upkeep, put a spore counter on Savage Thallid.
Remove three spore counters from Savage Thallid: Create a 1/1 green Saproling creature token.
Sacrifice a Saproling: Regenerate target Fungus.", Creature, Fungus
Scarwood Treefolk, Green,4,{3}{G},3,5,Scarwood Treefolk enters the battlefield tapped., Creature, Treefolk
Scryb Ranger, Green,2,{1}{G},1,1,"Flash (You may cast this spell any time you could cast an instant.)
Flying, protection from blue
Return a Forest you control to its owner's hand: Untap target creature. Activate this ability only once each turn.", Creature, Faerie
Spectral Force, Green,5,{3}{G}{G},8,8,"Trample
Whenever Spectral Force attacks, if defending player controls no black permanents, it doesn't untap during your next untap step.", Creature, Elemental Spirit
Spike Tiller, Green,5,{3}{G}{G},0,0,"Spike Tiller enters the battlefield with three +1/+1 counters on it.
{2}, Remove a +1/+1 counter from Spike Tiller: Put a +1/+1 counter on target creature.
{2}, Remove a +1/+1 counter from Spike Tiller: Target land becomes a 2/2 creature that's still a land. Put a +1/+1 counter on it.", Creature, Spike
Spinneret Sliver, Green,2,{1}{G},2,2,All Sliver creatures have reach. (They can block creatures with flying.), Creature, Sliver
Sprout, Green,1,{G},,,Create a 1/1 green Saproling creature token., Instant,
Squall Line, Green,2,{X}{G}{G},,,Squall Line deals X damage to each creature with flying and each player., Instant,
Stonewood Invocation, Green,4,{3}{G},,,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Target creature gets +5/+5 and gains shroud until end of turn. (It can't be the target of spells or abilities.)", Instant,
Thelon of Havenwood, Green,2,{G}{G},2,2,"Each Fungus creature gets +1/+1 for each spore counter on it.
{B}{G}, Exile a Fungus card from a graveyard: Put a spore counter on each Fungus on the battlefield.", Creature, Elf Druid
Thrill of the Hunt, Green,1,{G},,,"Target creature gets +1/+2 until end of turn.
Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)", Instant,
Unyaro Bees, Green,3,{G}{G}{G},0,1,"Flying
{G}: Unyaro Bees gets +1/+1 until end of turn.
{3}{G}, Sacrifice Unyaro Bees: It deals 2 damage to any target.", Creature, Insect
Verdant Embrace, Green,5,{3}{G}{G},,,"Enchant creature
Enchanted creature gets +3/+3 and has ""At the beginning of each upkeep, create a 1/1 green Saproling creature token.""", Enchantment, Aura
Wormwood Dryad, Green,3,{2}{G},3,1,"{G}: Wormwood Dryad gains forestwalk until end of turn and deals 1 damage to you. (It can't be blocked as long as defending player controls a Forest.)
{B}: Wormwood Dryad gains swampwalk until end of turn and deals 1 damage to you. (It can't be blocked as long as defending player controls a Swamp.)", Creature, Dryad
Wurmcalling, Green,1,{X}{G},,,"Buyback {2}{G} (You may pay an additional {2}{G} as you cast this spell. If you do, put this card into your hand as it resolves.)
Create an X/X green Wurm creature token.", Sorcery,
Dementia Sliver, Blue Black,5,{3}{U}{B},3,3,"All Slivers have ""{T}: Choose a card name. Target opponent reveals a card at random from their hand. If that card has the chosen name, that player discards it. Activate this ability only during your turn.""", Creature, Sliver
"Dralnu, Lich Lord", Blue Black,5,{3}{U}{B},3,3,"If damage would be dealt to Dralnu, Lich Lord, sacrifice that many permanents instead.
{T}: Target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)", Creature, Zombie Wizard
Firewake Sliver, Red Green,3,{1}{R}{G},1,1,"All Sliver creatures have haste.
All Slivers have ""{1}, Sacrifice this permanent: Target Sliver creature gets +2/+2 until end of turn.""", Creature, Sliver
Ghostflame Sliver, Black Red,2,{B}{R},2,2,All Slivers are colorless., Creature, Sliver
Harmonic Sliver, White Green,3,{1}{G}{W},1,1,"All Slivers have ""When this permanent enters the battlefield, destroy target artifact or enchantment.""", Creature, Sliver
"Ith, High Arcanist", White Blue,7,{5}{W}{U},3,5,"Vigilance
{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Suspend 4—{W}{U} (Rather than cast this card from your hand, you may pay {W}{U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)", Creature, Human Wizard
"Mishra, Artificer Prodigy", Blue Black Red,4,{1}{U}{B}{R},4,4,"Whenever you cast an artifact spell, you may search your graveyard, hand, and/or library for a card with the same name as that spell and put it onto the battlefield. If you search your library this way, shuffle it.", Creature, Human Artificer
Opaline Sliver, White Blue,3,{1}{W}{U},2,2,"All Slivers have ""Whenever this permanent becomes the target of a spell an opponent controls, you may draw a card.""", Creature, Sliver
Saffi Eriksdotter, White Green,2,{G}{W},2,2,"Sacrifice Saffi Eriksdotter: When target creature is put into your graveyard from the battlefield this turn, return that card to the battlefield.", Creature, Human Scout
"Stonebrow, Krosan Hero", Red Green,5,{3}{R}{G},4,4,"Trample
Whenever a creature you control with trample attacks, it gets +2/+2 until end of turn.", Creature, Centaur Warrior
Brass Gnat,Colorless,1,{1},1,1,"Flying
Brass Gnat doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {1}. If you do, untap Brass Gnat.", Artifact Creature, Insect
Candles of Leng,Colorless,2,{2},,,"{4}, {T}: Reveal the top card of your library. If it has the same name as a card in your graveyard, put it into your graveyard. Otherwise, draw a card.", Artifact,
Chromatic Star,Colorless,1,{1},,,"{1}, {T}, Sacrifice Chromatic Star: Add one mana of any color.
When Chromatic Star is put into a graveyard from the battlefield, draw a card.", Artifact,
Chronatog Totem,Colorless,3,{3},,,"{T}: Add {U}.
{1}{U}: Chronatog Totem becomes a 1/2 blue Atog artifact creature until end of turn.
{0}: Chronatog Totem gets +3/+3 until end of turn. You skip your next turn. Activate this ability only once each turn and only if Chronatog Totem is a creature.", Artifact,
Foriysian Totem,Colorless,3,{3},,,"{T}: Add {R}.
{4}{R}: Foriysian Totem becomes a 4/4 red Giant artifact creature with trample until end of turn.
As long as Foriysian Totem is a creature, it can block an additional creature each combat.", Artifact,
Hivestone,Colorless,2,{2},,,Creatures you control are Slivers in addition to their other creature types., Artifact,
Jhoira's Timebug,Colorless,2,{2},1,2,"{T}: Choose target permanent you control or suspended card you own. If that permanent or card has a time counter on it, you may remove a time counter from it or put another time counter on it.", Artifact Creature, Insect
Locket of Yesterdays,Colorless,1,{1},,,Spells you cast cost {1} less to cast for each card with the same name as that spell in your graveyard., Artifact,
Paradise Plume,Colorless,4,{4},,,"As Paradise Plume enters the battlefield, choose a color.
Whenever a player casts a spell of the chosen color, you may gain 1 life.
{T}: Add one mana of the chosen color.", Artifact,
"Sarpadian Empires, Vol. VII",Colorless,3,{3},,,"As Sarpadian Empires, Vol. VII enters the battlefield, choose white Citizen, blue Camarid, black Thrull, red Goblin, or green Saproling.
{3}, {T}: Create a 1/1 creature token of the chosen color and type.", Artifact,
Stuffy Doll,Colorless,5,{5},0,1,"Indestructible
As Stuffy Doll enters the battlefield, choose a player.
Whenever Stuffy Doll is dealt damage, it deals that much damage to the chosen player.
{T}: Stuffy Doll deals 1 damage to itself.", Artifact Creature, Construct
Thunder Totem,Colorless,3,{3},,,"{T}: Add {W}.
{1}{W}{W}: Thunder Totem becomes a 2/2 white Spirit artifact creature with flying and first strike until end of turn.", Artifact,
Venser's Sliver,Colorless,5,{5},3,3,, Artifact Creature, Sliver
Weatherseed Totem,Colorless,3,{3},,,"{T}: Add {G}.
{2}{G}{G}{G}: Weatherseed Totem becomes a 5/3 green Treefolk artifact creature with trample until end of turn.
When Weatherseed Totem is put into a graveyard from the battlefield, if it was a creature, return this card to its owner's hand.", Artifact,
Calciform Pools,Colorless,0,,,,"{T}: Add {C}.
{1}, {T}: Put a storage counter on Calciform Pools.
{1}, Remove X storage counters from Calciform Pools: Add X mana in any combination of {W} and/or {U}.", Land,
Flagstones of Trokair,Colorless,0,,,,"{T}: Add {W}.
When Flagstones of Trokair is put into a graveyard from the battlefield, you may search your library for a Plains card and put it onto the battlefield tapped. If you do, shuffle your library.", Land,
Gemstone Caverns,Colorless,0,,,,"If Gemstone Caverns is in your opening hand and you're not playing first, you may begin the game with Gemstone Caverns on the battlefield with a luck counter on it. If you do, exile a card from your hand.
{T}: Add {C}. If Gemstone Caverns has a luck counter on it, instead add one mana of any color.", Land,
Swarmyard,Colorless,0,,,,"{T}: Add {C}.
{T}: Regenerate target Insect, Rat, Spider, or Squirrel.", Land,
Auratog, White,2,{1}{W},1,2,Sacrifice an enchantment: Auratog gets +2/+2 until end of turn., Creature, Atog
Celestial Dawn, White,3,{1}{W}{W},,,"Lands you control are Plains.
Nonland permanents you control are white. The same is true for spells you control and nonland cards you own that aren't on the battlefield.
You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.", Enchantment,
